episode_id,selected,skip_reason,already_in_round6_config,reserved_val,reserved_test,known_bad_description,description_path,description_exists,description_parse_error,summary_path,summary_exists,summary_metadata_exists,h5_dataset,h5_dataset_exists,h5_trs,h5_shape,description_segments,max_description_end_s,inferred_feature_trs,needed_end,margin,passes_desc_h5_tr,complete_roi_count,missing_roi_count,missing_rois,warning_total,failed_batches,zero_filled_segments,warning_reason_counts
s01e01a,False,already_in_round6_config,True,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e01a/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e01a/summary.json,True,True,ses-003_task-s01e01a,True,592,"[592, 246]",333,881.0,592,587,5,True,14,0,[],0,0,0,{}
s01e01b,False,already_in_round6_config,True,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e01b/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e01b/summary.json,True,True,ses-003_task-s01e01b,True,592,"[592, 246]",343,879.0,590,587,3,True,14,0,[],0,0,0,{}
s01e02a,False,already_in_round6_config,True,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e02a/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e02a/summary.json,True,True,ses-001_task-s01e02a,True,482,"[482, 246]",251,718.0,482,477,5,True,14,0,[],0,0,0,{}
s01e02b,False,already_in_round6_config,True,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e02b/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e02b/summary.json,True,True,ses-001_task-s01e02b,True,482,"[482, 246]",269,718.0,482,477,5,True,14,0,[],0,0,0,{}
s01e03a,False,already_in_round6_config,True,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e03a/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e03a/summary.json,True,True,ses-001_task-s01e03a,True,472,"[472, 246]",274,703.0,472,467,5,True,14,0,[],0,0,0,{}
s01e03b,False,already_in_round6_config,True,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e03b/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e03b/summary.json,True,True,ses-001_task-s01e03b,True,472,"[472, 246]",261,703.0,472,467,5,True,14,0,[],0,0,0,{}
s01e04a,False,insufficient_tr_coverage,False,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e04a/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e04a/summary.json,True,True,ses-002_task-s01e04a,True,503,"[503, 246]",259,672.0,452,498,-46,False,0,14,"[""DLPFC"", ""VMPFC"", ""OFC"", ""ACC"", ""PCC"", ""Precuneus"", ""IPL"", ""SMG"", ""AG"", ""TPJ"", ""pSTS"", ""FFA"", ""Insula"", ""Temporal_Pole""]",0,0,0,{}
s01e04b,False,insufficient_tr_coverage,False,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e04b/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e04b/summary.json,True,True,ses-002_task-s01e04b,True,503,"[503, 246]",163,453.0,305,498,-193,False,0,14,"[""DLPFC"", ""VMPFC"", ""OFC"", ""ACC"", ""PCC"", ""Precuneus"", ""IPL"", ""SMG"", ""AG"", ""TPJ"", ""pSTS"", ""FFA"", ""Insula"", ""Temporal_Pole""]",0,0,0,{}
s01e05a,False,already_in_round6_config,True,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e05a/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e05a/summary.json,True,True,ses-002_task-s01e05a,True,468,"[468, 246]",277,697.0,468,463,5,True,14,0,[],0,0,0,{}
s01e05b,False,already_in_round6_config,True,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e05b/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e05b/summary.json,True,True,ses-002_task-s01e05b,True,468,"[468, 246]",243,689.0,463,463,0,True,14,0,[],0,0,0,{}
s01e06a,False,already_in_round6_config,True,False,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e06a/descriptions/refined_description.md,True,,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e06a/summary.json,True,True,ses-003_task-s01e06a,True,488,"[488, 246]",280,727.0,488,483,5,True,14,0,[],0,0,0,{}
